excipient_id,preferred_name_en,preferred_name_ko,CAS_number,UNII,synonyms,ingredient_scope,primary_functions,ionic_character,hygroscopicity,reducing_sugar,peroxide_impurity_risk,nitrite_impurity_risk,aldehyde_reactivity_or_source,chemical_reactivity_tags,fda_iid_listed,fda_iid_route_count,fda_iid_routes,fda_iid_dosage_form_count,fda_iid_dosage_forms,iid_record_count,enrichment_status,evidence_level,handbook_or_supplier_verification_required,source_reference,source_url,source_snapshot_date,last_verified_date,version,notes
EXC_71C99E44E7D5,.ALPHA.-TERPINEOL,,98555,21334LVV8W,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,TOPICAL,1,LOTION,1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_BDC34BEE96A2,.ALPHA.-TOCOPHEROL,,1406184,H4N855PNZ1,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,4,BUCCAL;INTRAVENOUS;ORAL;TOPICAL,10,"CAPSULE;FILM, SOLUBLE;INJECTION, POWDER, FOR SUSPENSION;OINTMENT;SOLUTION;SYSTEM;TABLET;TABLET, CHEWABLE;TABLET, EXTENDED RELEASE;TABLET, FILM COATED",10,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_6B897178328E,.ALPHA.-TOCOPHEROL ACETATE,,7695912,9E8X80D2L0,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,2,BUCCAL;ORAL,3,CAPSULE;FILM;TABLET,3,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_BEBF0A317368,".ALPHA.-TOCOPHEROL ACETATE, DL-",,7695912,WR1WPI7EW8,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,TOPICAL,2,"AEROSOL, FOAM;OINTMENT",2,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_B1AEAFEC9114,".ALPHA.-TOCOPHEROL, DL-",,10191410,7QWA1RIO01,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,4,INTRAVENOUS;ORAL;TOPICAL;TRANSDERMAL,11,"AEROSOL, FOAM;CAPSULE;INJECTION, EMULSION;OINTMENT;POWDER, FOR SUSPENSION;SOLUTION;SOLUTION, CONCENTRATE;SUSPENSION;SYSTEM;TABLET;TABLET, CHEWABLE",11,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_E0F3B8EEC8A4,1-(PHENYLAZO)-2-NAPHTHYLAMINE,,85847,3VSI4D701X,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,ORAL,2,CAPSULE;TABLET,2,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_B28440F0D7DC,"1,2-DIOLEOYL-SN-GLYCERO-3-PHOSPHOCHOLINE",,4235954,H026DM5V6U,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,EPIDURAL,1,"INJECTION, SUSPENSION, LIPOSOMAL",1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_48C88C411882,"1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE",,816944,043IPI2M0K,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,2,INTRAVENOUS;RESPIRATORY (INHALATION),4,"CAPSULE;INJECTABLE, LIPOSOMAL;INJECTION;INJECTION, POWDER, FOR SUSPENSION",4,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_E79D114D6649,"1,2,6-HEXANETRIOL",,106694,W45XXM0XWE,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,TOPICAL,1,CREAM,1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_BC3D367057C8,"1,4-SORBITAN",,27299123,AV0YTZ4E6J,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,ORAL,1,CAPSULE,1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_99A46004E2AE,2-(4-STYRYL-3-SULFOPHENOL)-6-METHOXYBENZOTRIAZOLE,,1333659,0MMD46SPU6,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,TOPICAL,1,SOAP,1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_022E12A468A7,2-AMINOETHANOL,,141435,5KV86114PT,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,ORAL,1,"TABLET, DELAYED RELEASE",1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_03B2EE009990,2-ETHYLHEXYL ACRYLATE-GLYCIDYL METHACRYLATE-2-HYDROXYETHYL ACRYLATE-VINYL ACETATE COPOLYMER (FOR DURO-TAK 387-2287),,,NA,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,TRANSDERMAL,3,"FILM;FILM, EXTENDED RELEASE;SYSTEM",3,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_0FBA26569133,2-ETHYLHEXYL ACRYLATE-VINYL ACETATE-ALUMINUM ACRYLATE COPOLYMER (FOR DURO-TAK 87-2194),,,NA,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,TRANSDERMAL,1,"FILM, EXTENDED RELEASE",1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_1228E711108E,2-NAPHTHOL,,135193,P2Z71CIK5H,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,ORAL,1,CAPSULE,1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_9F63564B2D5D,ACACIA,,9000015,5C5403N26O,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,4,BUCCAL;INTRAMUSCULAR;ORAL;SUBLINGUAL,16,"CAPSULE;CAPSULE, EXTENDED RELEASE;GUM, CHEWING;LOZENGE;POWDER;POWDER, FOR SOLUTION;POWDER, FOR SUSPENSION;SUSPENSION;SYRUP;TABLET;TABLET, CHEWABLE;TABLET, COATED;TABLET, DELAYED RELEASE;TABLET, EXTENDED RELEASE;TABLET, FILM COATED;TABLET, ORALLY DISINTEGRATING",19,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_2CFA179893A7,ACACIA SYRUP,,8047378,NA,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,ORAL,2,"CAPSULE, EXTENDED RELEASE;TABLET, DELAYED RELEASE",2,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_F4A145C4BB63,ACESULFAME,,33665906,MA3UYZ6K1H,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,1,ORAL,1,SOLUTION,1,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
EXC_AACEBE32AD0B,ACESULFAME POTASSIUM,,55589623,23OV73Q5G9,,FDA IID inactive ingredient,Unclassified,Unknown,Unknown,false,Unknown,Unknown,Unknown,,true,4,BUCCAL;DENTAL;ORAL;SUBLINGUAL,15,"FILM;FILM, SOLUBLE;GUM, CHEWING;LOZENGE;POWDER, FOR SOLUTION;POWDER, FOR SUSPENSION;SOLUTION;SUSPENSION;TABLET;TABLET, CHEWABLE;TABLET, EFFERVESCENT;TABLET, FILM COATED;TABLET, FOR SUSPENSION;TABLET, ORALLY DISINTEGRATING;TROCHE",17,IID_identity_only,FDA IID identity/use-history only,true,"FDA Inactive Ingredients Database, July 2026 update",https://www.fda.gov/drugs/drug-approvals-and-databases/inactive-ingredients-database-download,2026-07-23,2026-07-25,1.0,"IID listing is prior-use information, not a universal safety limit. Grade- and lot-specific impurity/moisture data are not contained in IID."
